"","sample","forward","reverse"
"1","icddrb",12180323,12180323
"2","icddrb",3811491,3811491
"3","icddrb",1071465,1071465
"4","icddrb",5380105,5380105
"5","icddrb",3201819,3201819
"6","icddrb",8807123,8807123
"7","SRR6117460",2013849,2013849
"8","SRR6147472",8367764,8367764
"9","SRR6147581",9293364,9293364
"10","SRR6147587",1314444,1314444
"11","SRR6147945",5569802,5569802
"12","SRR6147964",3725499,3725499
"13","SRR6148259",11069936,11069936
"14","SRR6813716",3018191,3018191
"15","SRR6813717",1578331,1578331
"16","SRR6813718",2350892,2350892
"17","SRR6813719",6562222,6562222
"18","SRR7898459",6711980,6711980
